,Geography,SS1_White,SS1_Black,SS1_Asian,SS1_Other,SS1_Mixed,SS2_White,SS2_Black,SS2_Asian,SS2_Other,SS2_Mixed,SS3_White,SS3_Black,SS3_Asian,SS3_Other,SS3_Mixed
0,Cleveland,28748.0,227.0,605.0,150.0,136.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Durham,4826.0,15.0,15.0,10.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Northumbria,42143.0,189.0,864.0,49.0,114.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,North East Region,75717.0,431.0,1484.0,209.0,264.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Cheshire,5690.0,64.0,62.0,78.0,48.0,56.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
5,Cumbria,9608.0,29.0,54.0,11.0,31.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Greater Manchester,37506.0,3071.0,5164.0,550.0,1508.0,619.0,283.0,97.0,8.0,81.0,9.0,6.0,7.0,2.0,1.0
7,Lancashire,22538.0,275.0,2542.0,88.0,290.0,462.0,7.0,38.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
8,Merseyside,40181.0,730.0,275.0,237.0,497.0,1830.0,59.0,11.0,22.0,35.0,0.0,0.0,0.0,0.0,0.0
9,North West Region,115523.0,4169.0,8097.0,964.0,2374.0,3011.0,349.0,147.0,32.0,132.0,9.0,6.0,7.0,2.0,1.0
10,Humberside,8518.0,92.0,151.0,50.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,North Yorkshire,5402.0,37.0,139.0,12.0,27.0,4.0,0.0,0.0,0.0,0.0,19.0,0.0,8.0,1.0,0.0
12,South Yorkshire,20015.0,1010.0,1471.0,33.0,477.0,61.0,17.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
13,West Yorkshire,21979.0,927.0,4840.0,125.0,922.0,108.0,6.0,16.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
14,Yorkshire and the Humber Region,55914.0,2066.0,6601.0,220.0,1522.0,173.0,23.0,34.0,3.0,13.0,19.0,0.0,8.0,1.0,0.0
15,Derbyshire,10157.0,290.0,578.0,26.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Leicestershire,15604.0,1681.0,3975.0,57.0,868.0,113.0,18.0,62.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
17,Lincolnshire,9392.0,82.0,63.0,5.0,75.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
