,Geography,Diversity_Score
0,Avon and Somerset,1287.9038830125955
1,Bedfordshire,3784.5057726742825
2,Cambridgeshire,1819.1704816961692
3,Cheshire,604.6610492246327
4,Cleveland,1062.1436957260448
5,Cumbria,301.1069750357383
6,Derbyshire,1285.0765710937121
7,Devon and Cornwall,482.71947524940697
8,Dorset,770.235228737427
9,Durham,428.30944333000843
10,Dyfed-Powys,398.44884817798265
11,Essex,1294.182243051955
12,Gloucestershire,888.6593042820241
13,Greater Manchester,2875.6405791161633
14,Gwent,756.2454889463879
15,Hampshire,1275.8374881963828
16,Hertfordshire,2280.058092101558
17,Humberside,689.5471058043586
18,Kent,1325.8383903874364
19,Lancashire,1778.0798978952025
20,Leicestershire,3608.433115135379
21,Lincolnshire,473.719880972787
22,Merseyside,1060.9594851472684
23,Metropolitan Police,5911.741759163077
24,Norfolk,680.8763610943715
25,North Wales,492.89823233346397
26,North Yorkshire,668.6512069982364
27,Northamptonshire,1614.6036585130569
28,Northumbria,1046.0765192798171
29,Nottinghamshire,2074.393456104388
30,South Wales,1270.4632957006997
31,South Yorkshire,1760.9026663494642
32,Staffordshire,1139.3864038390948
33,Suffolk,930.8814957126906
34,Surrey,1796.790921986496
35,Sussex,1211.586242723144
36,Thames Valley,2757.822798119917
37,Warwickshire,1384.6650164518232
38,West Mercia,732.1181470597494
39,West Midlands,4702.489206222443
40,West Yorkshire,3146.7885700273428
41,Wiltshire,1056.1209330999372
