,Geography,Diversity_Score
0,Avon and Somerset,2037.744602042554
1,Bedfordshire,4986.546897670242
2,Cambridgeshire,3302.841513274713
3,Cheshire,1132.3036452833821
4,Cleveland,1321.3554999879034
5,Cumbria,693.6884301181726
6,Derbyshire,1750.8053588889325
7,Devon and Cornwall,992.7605652688198
8,Dorset,1538.8727406437774
9,Durham,765.4391338356054
10,Dyfed-Powys,902.6925869169645
11,Essex,1977.8421976339378
12,Gloucestershire,1603.6506446565054
13,Greater Manchester,3579.964301364558
14,Gwent,1081.2111521559964
15,Hampshire,1991.3287676936616
16,Hertfordshire,3421.41450460175
17,Humberside,1249.3827403809155
18,Kent,2144.481871579741
19,Lancashire,2278.0611960639744
20,Leicestershire,4226.977000255464
21,Lincolnshire,1332.0448236405246
22,Merseyside,1561.3428242339542
23,Metropolitan Police,7643.939280869971
24,Norfolk,1439.0430385733544
25,North Wales,969.2571131643035
26,North Yorkshire,1271.9118334760806
27,Northamptonshire,2629.404336410188
28,Northumbria,1390.7808855507083
29,Nottinghamshire,2748.683641560762
30,South Wales,1738.7799064377105
31,South Yorkshire,2229.5183424872157
32,Staffordshire,1539.424074149616
33,Suffolk,1731.1413546256026
34,Surrey,2981.203064981425
35,Sussex,2163.2758802234584
36,Thames Valley,3875.831241796619
37,Warwickshire,2149.4883247662247
38,West Mercia,1354.4647292903555
39,West Midlands,5502.850490013409
40,West Yorkshire,3754.3873899161126
41,Wiltshire,1762.8089965432537
